Brown University Keck/NASA Relab Spectrum LR-CMP-098/BKR1LR098
Wavelength(micron)	Reflectance
2.05	0.28334
2.055	0.28396
2.06	0.28448
2.065	0.28519
2.07	0.28607
2.075	0.28668
2.08	0.28680
2.085	0.28740
2.09	0.28770
2.095	0.28843
2.1	0.28969
2.105	0.29061
2.11	0.29134
2.115	0.29159
2.12	0.29175
2.125	0.29184
2.13	0.29236
2.135	0.29231
2.14	0.29279
2.145	0.29491
2.15	0.29490
2.155	0.29542
2.16	0.29627
2.165	0.29612
2.17	0.29670
2.175	0.29725
2.18	0.29777
2.185	0.29859
2.19	0.29910
2.195	0.30007
2.2	0.30072
2.205	0.30145
2.21	0.30201
2.215	0.30307
2.22	0.30363
2.225	0.30439
2.23	0.30531
2.235	0.30603
2.24	0.30667
2.245	0.30755
2.25	0.30818
2.255	0.30892
2.26	0.30990
2.265	0.31064
2.27	0.31084
2.275	0.31163
2.28	0.31221
2.285	0.31283
2.29	0.31349
2.295	0.31457
2.3	0.31525
2.305	0.31600
2.31	0.31652
2.315	0.31679
2.32	0.31709
2.325	0.31759
2.33	0.31803
2.335	0.31857
2.34	0.31935
2.345	0.32014
2.35	0.32086
2.355	0.32167
2.36	0.32218
2.365	0.32266
2.37	0.32281
2.375	0.32336
2.38	0.32381
2.385	0.32489
2.39	0.32562
2.395	0.32658
2.4	0.32730
2.405	0.32785
2.41	0.32815
2.415	0.32902
2.42	0.32949
2.425	0.33013
2.43	0.33105
2.435	0.33183
2.44	0.33235
2.445	0.33309
2.45	0.33368
2.455	0.33409
2.46	0.33451
2.465	0.33511
2.47	0.33585
2.475	0.33661
2.48	0.33750
2.485	0.33849
2.49	0.33926
2.495	0.34019
2.5	0.34076
2.505	0.34111
2.51	0.34135
2.515	0.34185
2.52	0.34218
2.525	0.34282
2.53	0.34365
2.535	0.34455
2.54	0.34476
2.545	0.34450
2.55	0.34568
2.5519	0.34580
2.5531	0.34591
2.5544	0.34599
2.5557	0.34610
2.5569	0.34628
2.5582	0.34638
2.5594	0.34652
2.5607	0.34674
2.562	0.34685
2.5632	0.34697
2.5645	0.34714
2.5658	0.34716
2.5671	0.34711
2.5683	0.34726
2.5696	0.34747
2.5709	0.34747
2.5721	0.34760
2.5734	0.34791
2.5747	0.34793
2.576	0.34805
2.5773	0.34820
2.5785	0.34816
2.5798	0.34827
2.5811	0.34851
2.5824	0.34857
2.5837	0.34879
2.585	0.34880
2.5863	0.34886
2.5875	0.34904
2.5888	0.34913
2.5901	0.34921
2.5914	0.34923
2.5927	0.34943
2.594	0.34992
2.5953	0.35018
2.5966	0.34986
2.5979	0.34977
2.5992	0.34983
2.6005	0.34997
2.6018	0.35015
2.6031	0.35029
2.6044	0.35052
2.6058	0.35075
2.6071	0.35068
2.6084	0.35073
2.6097	0.35082
2.611	0.35084
2.6123	0.35095
2.6136	0.35105
2.6149	0.35110
2.6163	0.35140
2.6176	0.35148
2.6189	0.35145
2.6202	0.35177
2.6216	0.35171
2.6229	0.35168
2.6242	0.35181
2.6255	0.35198
2.6269	0.35219
2.6282	0.35209
2.6295	0.35234
2.6309	0.35256
2.6322	0.35240
2.6335	0.35246
2.6349	0.35255
2.6362	0.35260
2.6376	0.35273
2.6389	0.35284
2.6402	0.35295
2.6416	0.35302
2.6429	0.35309
2.6443	0.35322
2.6456	0.35336
2.647	0.35335
2.6483	0.35342
2.6497	0.35349
2.651	0.35361
2.6524	0.35380
2.6538	0.35378
2.6551	0.35384
2.6565	0.35391
2.6578	0.35397
2.6592	0.35417
2.6606	0.35420
2.6619	0.35424
2.6633	0.35431
2.6647	0.35462
2.666	0.35484
2.6674	0.35470
2.6688	0.35449
2.6701	0.35476
2.6715	0.35449
2.6729	0.35421
2.6743	0.35430
2.6757	0.35444
2.677	0.35455
2.6784	0.35452
2.6798	0.35445
2.6812	0.35431
2.6826	0.35436
2.684	0.35436
2.6854	0.35429
2.6868	0.35428
2.6881	0.35415
2.6895	0.35404
2.6909	0.35395
2.6923	0.35392
2.6937	0.35395
2.6951	0.35379
2.6965	0.35354
2.6979	0.35330
2.6993	0.35315
2.7008	0.35311
2.7021	0.35294
2.7036	0.35260
2.705	0.35239
2.7064	0.35225
2.7078	0.35212
2.7092	0.35198
2.7106	0.35169
2.7121	0.35124
2.7135	0.35088
2.7149	0.35065
2.7163	0.35037
2.7177	0.35007
2.7192	0.34982
2.7206	0.34967
2.722	0.34903
2.7234	0.34864
2.7249	0.34837
2.7263	0.34774
2.7277	0.34720
2.7292	0.34672
2.7306	0.34624
2.7321	0.34573
2.7335	0.34531
2.7349	0.34497
2.7364	0.34435
2.7378	0.34388
2.7393	0.34350
2.7407	0.34290
2.7422	0.34213
2.7436	0.34144
2.7451	0.34088
2.7465	0.34030
2.748	0.33969
2.7494	0.33908
2.7509	0.33855
2.7524	0.33798
2.7538	0.33748
2.7553	0.33710
2.7567	0.33619
2.7582	0.33537
2.7597	0.33476
2.7611	0.33425
2.7626	0.33376
2.7641	0.33307
2.7656	0.33241
2.767	0.33191
2.7685	0.33132
2.77	0.33072
2.7715	0.33010
2.773	0.32940
2.7744	0.32878
2.7759	0.32829
2.7774	0.32775
2.7789	0.32717
2.7804	0.32677
2.7819	0.32629
2.7834	0.32573
2.7849	0.32526
2.7864	0.32491
2.7879	0.32441
2.7894	0.32376
2.7909	0.32336
2.7924	0.32298
2.7939	0.32258
2.7954	0.32221
2.7969	0.32184
2.7984	0.32147
2.7999	0.32112
2.8014	0.32080
2.8029	0.32058
2.8044	0.32023
2.806	0.31984
2.8075	0.31951
2.809	0.31920
2.8105	0.31893
