Brown University Keck/NASA Relab Spectrum LR-CMP-023/LALR23
Wavelength(micron)	Reflectance
2.05	0.12374
2.055	0.12395
2.06	0.12431
2.065	0.12440
2.07	0.12450
2.075	0.12468
2.08	0.12506
2.085	0.12538
2.09	0.12547
2.095	0.12600
2.1	0.12643
2.105	0.12640
2.11	0.12643
2.115	0.12686
2.12	0.12711
2.125	0.12729
2.13	0.12750
2.135	0.12773
2.14	0.12788
2.145	0.12832
2.15	0.12871
2.155	0.12868
2.16	0.12916
2.165	0.12961
2.17	0.12977
2.175	0.12991
2.18	0.13055
2.185	0.13077
2.19	0.13107
2.195	0.13154
2.2	0.13171
2.205	0.13234
2.21	0.13238
2.215	0.13268
2.22	0.13312
2.225	0.13351
2.23	0.13373
2.235	0.13410
2.24	0.13445
2.245	0.13469
2.25	0.13509
2.255	0.13545
2.26	0.13589
2.265	0.13599
2.27	0.13656
2.275	0.13686
2.28	0.13707
2.285	0.13756
2.29	0.13769
2.295	0.13806
2.3	0.13867
2.305	0.13901
2.31	0.13911
2.315	0.13956
2.32	0.14012
2.325	0.14030
2.33	0.14083
2.335	0.14106
2.34	0.14141
2.345	0.14144
2.35	0.14190
2.355	0.14203
2.36	0.14262
2.365	0.14289
2.37	0.14316
2.375	0.14385
2.38	0.14388
2.385	0.14437
2.39	0.14496
2.395	0.14511
2.4	0.14564
2.405	0.14611
2.41	0.14647
2.415	0.14670
2.42	0.14727
2.425	0.14817
2.43	0.14848
2.435	0.14877
2.44	0.14964
2.445	0.14964
2.45	0.15012
2.455	0.15041
2.46	0.15070
2.465	0.15118
2.47	0.15110
2.475	0.15246
2.48	0.15267
2.485	0.15304
2.49	0.15346
2.495	0.15399
2.5	0.15461
2.502	0.15489
2.5032	0.15483
2.5044	0.15477
2.5056	0.15503
2.5068	0.15522
2.508	0.15508
2.5093	0.15518
2.5105	0.15551
2.5117	0.15558
2.5129	0.15555
2.5141	0.15590
2.5153	0.15602
2.5166	0.15585
2.5178	0.15601
2.519	0.15618
2.5202	0.15643
2.5215	0.15633
2.5227	0.15623
2.5239	0.15627
2.5252	0.15643
2.5264	0.15661
2.5276	0.15674
2.5288	0.15692
2.5301	0.15698
2.5313	0.15701
2.5326	0.15711
2.5338	0.15687
2.535	0.15708
2.5363	0.15736
2.5375	0.15740
2.5388	0.15731
2.54	0.15760
2.5412	0.15777
2.5425	0.15783
2.5437	0.15772
2.545	0.15759
2.5462	0.15771
2.5475	0.15781
2.5487	0.15793
2.55	0.15811
2.5512	0.15814
2.5525	0.15825
2.5538	0.15838
2.555	0.15865
2.5563	0.15896
2.5575	0.15904
2.5588	0.15889
2.5601	0.15886
2.5613	0.15890
2.5626	0.15880
2.5639	0.15882
2.5651	0.15897
2.5664	0.15933
2.5677	0.15958
2.5689	0.15950
2.5702	0.15974
2.5715	0.15986
2.5728	0.15976
2.574	0.15980
2.5753	0.15998
2.5766	0.16008
2.5779	0.16021
2.5792	0.16030
2.5805	0.16045
2.5817	0.16067
2.583	0.16070
2.5843	0.16063
2.5856	0.16070
2.5869	0.16074
2.5882	0.16095
2.5895	0.16112
2.5908	0.16129
2.5921	0.16153
2.5934	0.16154
2.5947	0.16161
2.596	0.16197
2.5973	0.16210
2.5986	0.16221
2.5999	0.16231
2.6012	0.16222
2.6025	0.16214
2.6038	0.16231
2.6051	0.16228
2.6064	0.16220
2.6077	0.16238
2.609	0.16274
2.6103	0.16277
2.6117	0.16270
2.613	0.16309
2.6143	0.16317
2.6156	0.16273
2.6169	0.16256
2.6183	0.16306
2.6196	0.16347
2.6209	0.16353
2.6222	0.16343
2.6236	0.16353
2.6249	0.16372
2.6262	0.16383
2.6275	0.16403
2.6289	0.16387
2.6302	0.16387
2.6315	0.16377
2.6329	0.16386
2.6342	0.16410
2.6356	0.16423
2.6369	0.16424
2.6382	0.16431
2.6396	0.16444
2.6409	0.16481
2.6423	0.16466
2.6436	0.16454
2.645	0.16469
2.6463	0.16479
2.6477	0.16472
2.649	0.16468
2.6504	0.16494
2.6517	0.16507
2.6531	0.16515
2.6544	0.16523
2.6558	0.16533
2.6572	0.16513
2.6585	0.16514
2.6599	0.16548
2.6613	0.16569
2.6626	0.16562
2.664	0.16560
2.6654	0.16552
2.6667	0.16558
2.6681	0.16586
2.6695	0.16571
2.6709	0.16558
2.6722	0.16577
2.6736	0.16572
2.675	0.16566
2.6764	0.16578
2.6778	0.16613
2.6791	0.16654
2.6805	0.16632
2.6819	0.16630
2.6833	0.16641
2.6847	0.16651
2.6861	0.16647
2.6875	0.16623
2.6889	0.16630
2.6903	0.16632
2.6917	0.16611
2.6931	0.16634
2.6945	0.16664
2.6959	0.16667
2.6973	0.16679
2.6987	0.16694
2.7001	0.16674
2.7015	0.16668
2.7029	0.16670
2.7043	0.16679
2.7057	0.16688
2.7071	0.16684
2.7085	0.16675
2.71	0.16686
2.7114	0.16696
2.7128	0.16689
2.7142	0.16669
2.7156	0.16661
2.7171	0.16673
2.7185	0.16680
2.7199	0.16693
2.7213	0.16691
2.7228	0.16683
2.7242	0.16674
2.7256	0.16664
2.7271	0.16658
2.7285	0.16649
2.7299	0.16650
2.7314	0.16655
2.7328	0.16645
2.7342	0.16652
2.7357	0.16647
2.7371	0.16619
2.7386	0.16584
2.74	0.16572
2.7415	0.16589
2.7429	0.16599
2.7444	0.16596
2.7458	0.16579
2.7473	0.16546
2.7487	0.16546
2.7502	0.16543
2.7517	0.16543
2.7531	0.16542
2.7546	0.16533
2.7561	0.16516
2.7575	0.16502
2.759	0.16509
2.7605	0.16492
2.7619	0.16463
2.7634	0.16460
2.7649	0.16467
2.7663	0.16445
2.7678	0.16437
2.7693	0.16435
2.7708	0.16405
2.7723	0.16375
2.7737	0.16363
2.7752	0.16371
2.7767	0.16387
2.7782	0.16372
2.7797	0.16347
2.7812	0.16333
2.7827	0.16310
2.7842	0.16305
2.7857	0.16296
2.7872	0.16281
2.7887	0.16292
2.7902	0.16306
2.7917	0.16297
2.7932	0.16274
2.7947	0.16256
2.7962	0.16246
2.7977	0.16250
2.7992	0.16252
2.8007	0.16247
2.8022	0.16218
2.8038	0.16220
2.8053	0.16238
2.8068	0.16238
2.8083	0.16237
2.8098	0.16231
2.8114	0.16231
2.8129	0.16213
2.8144	0.16203
2.8159	0.16203
2.8175	0.16199
2.819	0.16197
2.8205	0.16197
2.8221	0.16194
2.8236	0.16204
2.8251	0.16211
2.8267	0.16203
2.8282	0.16187
2.8298	0.16187
2.8313	0.16215
2.8329	0.16236
2.8344	0.16226
2.836	0.16206
2.8375	0.16196
2.8391	0.16204
2.8406	0.16208
2.8422	0.16205
2.8437	0.16200
2.8453	0.16216
2.8469	0.16236
2.8484	0.16240
2.85	0.16240
2.8516	0.16251
2.8531	0.16256
2.8547	0.16257
2.8563	0.16242
2.8578	0.16252
2.8594	0.16272
2.861	0.16273
2.8626	0.16279
2.8642	0.16290
2.8657	0.16298
2.8673	0.16291
2.8689	0.16280
2.8705	0.16279
2.8721	0.16280
2.8737	0.16303
2.8753	0.16314
2.8769	0.16312
2.8785	0.16324
2.8801	0.16326
2.8817	0.16322
2.8833	0.16308
2.8849	0.16313
2.8865	0.16327
2.8881	0.16339
2.8897	0.16349
2.8913	0.16354
2.8929	0.16368
2.8945	0.16382
2.8962	0.16392
2.8978	0.16403
2.8994	0.16402
2.901	0.16389
2.9027	0.16386
2.9043	0.16394
2.9059	0.16417
2.9075	0.16439
2.9092	0.16442
2.9108	0.16431
2.9124	0.16431
2.9141	0.16429
2.9157	0.16433
2.9174	0.16441
2.919	0.16453
2.9206	0.16467
2.9223	0.16469
2.9239	0.16467
2.9256	0.16466
2.9272	0.16474
2.9289	0.16470
2.9305	0.16488
2.9322	0.16496
2.9339	0.16494
2.9355	0.16492
2.9372	0.16493
2.9389	0.16495
2.9405	0.16493
2.9422	0.16492
2.9439	0.16509
2.9455	0.16513
2.9472	0.16512
2.9489	0.16500
2.9506	0.16525
2.9522	0.16537
2.9539	0.16532
2.9556	0.16523
2.9573	0.16531
2.959	0.16543
2.9607	0.16541
2.9624	0.16532
2.9641	0.16525
2.9658	0.16522
2.9674	0.16531
2.9691	0.16531
2.9709	0.16529
2.9726	0.16544
2.9743	0.16559
2.976	0.16565
2.9777	0.16570
2.9794	0.16578
2.9811	0.16588
2.9828	0.16589
2.9845	0.16591
2.9863	0.16585
2.988	0.16595
2.9897	0.16601
2.9914	0.16586
2.9931	0.16584
2.9949	0.16591
2.9966	0.16604
2.9983	0.16623
3.0001	0.16631
3.0018	0.16626
3.0036	0.16632
3.0053	0.16641
3.007	0.16650
3.0088	0.16649
3.0105	0.16652
3.0123	0.16656
3.014	0.16651
3.0158	0.16655
3.0175	0.16673
3.0193	0.16676
3.0211	0.16670
3.0228	0.16681
3.0246	0.16671
3.0263	0.16666
3.0281	0.16681
3.0299	0.16701
3.0317	0.16699
3.0334	0.16700
3.0352	0.16701
3.037	0.16706
3.0388	0.16707
3.0405	0.16718
3.0423	0.16736
3.0441	0.16729
3.0459	0.16719
3.0477	0.16718
3.0495	0.16719
3.0513	0.16737
3.0531	0.16735
3.0549	0.16734
3.0567	0.16736
3.0585	0.16728
3.0603	0.16742
3.0621	0.16761
3.0639	0.16765
3.0657	0.16754
3.0675	0.16745
3.0694	0.16741
3.0712	0.16747
3.073	0.16760
3.0748	0.16761
3.0766	0.16763
3.0785	0.16762
3.0803	0.16755
3.0821	0.16757
3.084	0.16774
