Brown University Keck/NASA Relab Spectrum LR-CMP-106/BKR1LR106
Wavelength(micron)	Reflectance
0.3	0.15986
0.305	0.16309
0.31	0.16725
0.315	0.16916
0.32	0.17270
0.325	0.17697
0.33	0.17998
0.335	0.18487
0.34	0.18966
0.345	0.19459
0.35	0.19910
0.355	0.20420
0.36	0.20980
0.365	0.21331
0.37	0.21742
0.375	0.22108
0.38	0.22515
0.385	0.22862
0.39	0.23185
0.395	0.23524
0.4	0.23797
0.405	0.24076
0.41	0.24326
0.415	0.24547
0.42	0.24733
0.425	0.24933
0.43	0.25121
0.435	0.25330
0.44	0.25463
0.445	0.25603
0.45	0.25749
0.455	0.25882
0.46	0.26057
0.465	0.26184
0.47	0.26344
0.475	0.26469
0.48	0.26619
0.485	0.26774
0.49	0.26888
0.495	0.27039
0.5	0.27169
0.505	0.27248
0.51	0.27461
0.515	0.27644
0.52	0.27832
0.525	0.27941
0.53	0.28087
0.535	0.28237
0.54	0.28362
0.545	0.28482
0.55	0.28583
0.555	0.28740
0.56	0.28869
0.565	0.28985
0.57	0.29158
0.575	0.29317
0.58	0.29394
0.585	0.29544
0.59	0.29630
0.595	0.29708
0.6	0.29826
0.605	0.29960
0.61	0.30058
0.615	0.30195
0.62	0.30297
0.625	0.30410
0.63	0.30489
0.635	0.30594
0.64	0.30706
0.645	0.30781
0.65	0.30868
0.655	0.30916
0.66	0.31015
0.665	0.31085
0.67	0.31170
0.675	0.31261
0.68	0.31343
0.685	0.31405
0.69	0.31387
0.695	0.31485
0.7	0.31513
0.705	0.31614
0.71	0.31666
0.715	0.31712
0.72	0.31718
0.725	0.31734
0.73	0.31734
0.735	0.31789
0.74	0.31764
0.745	0.31771
0.75	0.31814
0.755	0.31767
0.76	0.31799
0.765	0.31724
0.77	0.31710
0.775	0.31650
0.78	0.31607
0.785	0.31543
0.79	0.31417
0.795	0.31385
0.8	0.31190
0.805	0.31071
0.81	0.31006
0.815	0.30853
0.82	0.30696
0.825	0.30587
0.83	0.30412
0.835	0.30284
0.84	0.30154
0.845	0.29980
0.85	0.29878
0.855	0.29634
0.86	0.29463
0.865	0.29343
0.87	0.29187
0.875	0.29008
0.88	0.28901
0.885	0.28770
0.89	0.28674
0.895	0.28526
0.9	0.28455
0.905	0.28345
0.91	0.28301
0.915	0.28168
0.92	0.28171
0.925	0.28137
0.93	0.28141
0.935	0.28108
0.94	0.28091
0.945	0.28100
0.95	0.28144
0.955	0.28152
0.96	0.28234
0.965	0.28290
0.97	0.28360
0.975	0.28450
0.98	0.28511
0.985	0.28650
0.99	0.28781
0.995	0.28856
1	0.28960
1.005	0.29060
1.01	0.29235
1.015	0.29377
1.02	0.29465
1.025	0.29654
1.03	0.29788
1.035	0.29896
1.04	0.30001
1.045	0.30113
1.05	0.30314
1.055	0.30476
1.06	0.30604
1.065	0.30691
1.07	0.30846
1.075	0.30997
1.08	0.31161
1.085	0.31286
1.09	0.31442
1.095	0.31589
1.1	0.31772
1.105	0.31940
1.11	0.31995
1.115	0.32120
1.12	0.32212
1.125	0.32358
1.13	0.32527
1.135	0.32624
1.14	0.32768
1.145	0.32853
1.15	0.32938
1.155	0.33129
1.16	0.33236
1.165	0.33326
1.17	0.33423
1.175	0.33543
1.18	0.33556
1.185	0.33647
1.19	0.33777
1.195	0.33813
1.2	0.33907
1.205	0.34014
1.21	0.34079
1.215	0.34125
1.22	0.34206
1.225	0.34269
1.23	0.34426
1.235	0.34489
1.24	0.34604
1.245	0.34657
1.25	0.34697
1.255	0.34806
1.26	0.34874
1.265	0.35057
1.27	0.35133
1.275	0.35148
1.28	0.35169
1.285	0.35210
1.29	0.35310
1.295	0.35429
1.3	0.35457
1.305	0.35565
1.31	0.35618
1.315	0.35731
1.32	0.35757
1.325	0.35870
1.33	0.35965
1.335	0.36078
1.34	0.36188
1.345	0.36212
1.35	0.36283
1.355	0.36328
1.36	0.36451
1.365	0.36561
1.37	0.36662
1.375	0.36739
1.38	0.36794
1.385	0.36923
1.39	0.36991
1.395	0.37069
1.4	0.37092
1.405	0.37232
1.41	0.37340
1.415	0.37343
1.42	0.37490
1.425	0.37511
1.43	0.37609
1.435	0.37716
1.44	0.37744
1.445	0.37785
1.45	0.37905
1.455	0.37961
1.46	0.38024
1.465	0.38064
1.47	0.38106
1.475	0.38201
1.48	0.38338
1.485	0.38302
1.49	0.38369
1.495	0.38410
1.5	0.38474
1.505	0.38530
1.51	0.38565
1.515	0.38629
1.52	0.38665
1.525	0.38720
1.53	0.38686
1.535	0.38758
1.54	0.38809
