Brown University Keck/NASA Relab Spectrum LR-CMP-168/BIR2LR168
Wavelength(micron)	Reflectance
1.0651	0.07075
1.0653	0.07092
1.0656	0.07100
1.0658	0.07102
1.066	0.07112
1.0662	0.07128
1.0664	0.07150
1.0667	0.07158
1.0669	0.07165
1.0671	0.07170
1.0673	0.07180
1.0676	0.07186
1.0678	0.07194
1.068	0.07212
1.0682	0.07217
1.0684	0.07221
1.0687	0.07229
1.0689	0.07255
1.0691	0.07277
1.0693	0.07277
1.0695	0.07280
1.0698	0.07297
1.07	0.07314
1.0702	0.07321
1.0704	0.07328
1.0706	0.07335
1.0708	0.07342
1.0711	0.07359
1.0713	0.07370
1.0715	0.07378
1.0717	0.07404
1.072	0.07422
1.0722	0.07426
1.0724	0.07436
1.0726	0.07444
1.0728	0.07444
1.0731	0.07455
1.0733	0.07468
1.0735	0.07483
1.0737	0.07497
1.074	0.07503
1.0742	0.07516
1.0744	0.07534
1.0746	0.07555
1.0748	0.07567
1.0751	0.07573
1.0753	0.07577
1.0755	0.07586
1.0757	0.07598
1.076	0.07609
1.0762	0.07624
1.0764	0.07642
1.0766	0.07657
1.0769	0.07660
1.0771	0.07670
1.0773	0.07677
1.0775	0.07686
1.0778	0.07712
1.078	0.07724
1.0782	0.07733
1.0784	0.07752
1.0787	0.07762
1.0789	0.07768
1.0791	0.07788
1.0793	0.07805
1.0796	0.07812
1.0798	0.07817
1.08	0.07828
1.0802	0.07854
1.0804	0.07873
1.0807	0.07879
1.0809	0.07892
1.0811	0.07903
1.0813	0.07919
1.0816	0.07929
1.0818	0.07941
1.082	0.07964
1.0823	0.07978
1.0825	0.07985
1.0827	0.07988
1.0829	0.08003
1.0832	0.08024
1.0834	0.08033
1.0836	0.08046
1.0838	0.08068
1.0841	0.08088
1.0843	0.08098
1.0845	0.08101
1.0847	0.08111
1.085	0.08131
1.0852	0.08144
1.0854	0.08153
1.0857	0.08169
1.0859	0.08180
1.0861	0.08193
1.0863	0.08212
1.0866	0.08229
1.0868	0.08239
1.087	0.08251
1.0873	0.08268
1.0875	0.08287
1.0877	0.08300
1.0879	0.08314
1.0882	0.08331
1.0884	0.08340
1.0886	0.08355
1.0888	0.08375
1.0891	0.08388
1.0893	0.08388
1.0895	0.08396
1.0898	0.08422
1.09	0.08446
1.0902	0.08465
1.0904	0.08480
1.0907	0.08495
1.0909	0.08498
1.0911	0.08508
1.0914	0.08534
1.0916	0.08546
1.0918	0.08559
1.0921	0.08577
1.0923	0.08592
1.0925	0.08608
1.0928	0.08624
1.093	0.08636
1.0932	0.08662
1.0934	0.08677
1.0937	0.08688
1.0939	0.08703
1.0941	0.08714
1.0944	0.08729
1.0946	0.08746
1.0948	0.08763
1.0951	0.08783
1.0953	0.08802
1.0955	0.08821
1.0958	0.08840
1.096	0.08857
1.0962	0.08860
1.0964	0.08872
1.0967	0.08897
1.0969	0.08912
1.0971	0.08919
1.0974	0.08934
1.0976	0.08950
1.0978	0.08971
1.0981	0.08983
1.0983	0.08996
1.0985	0.09016
1.0988	0.09039
1.099	0.09064
1.0992	0.09078
1.0995	0.09081
1.0997	0.09094
1.0999	0.09119
1.1002	0.09135
1.1004	0.09152
1.1006	0.09168
1.1009	0.09178
1.1011	0.09200
1.1013	0.09217
1.1016	0.09228
1.1018	0.09250
1.102	0.09271
1.1023	0.09287
1.1025	0.09304
1.1027	0.09321
1.103	0.09338
1.1032	0.09352
1.1034	0.09369
1.1037	0.09390
1.1039	0.09405
1.1042	0.09418
1.1044	0.09438
1.1046	0.09463
1.1048	0.09481
1.1051	0.09494
1.1053	0.09514
1.1056	0.09536
1.1058	0.09550
1.106	0.09566
1.1063	0.09578
1.1065	0.09590
1.1067	0.09615
1.107	0.09637
1.1072	0.09653
1.1074	0.09672
1.1077	0.09692
1.1079	0.09703
1.1082	0.09718
1.1084	0.09735
1.1086	0.09753
1.1089	0.09776
1.1091	0.09795
1.1093	0.09813
1.1096	0.09835
1.1098	0.09853
1.1101	0.09869
1.1103	0.09885
1.1105	0.09909
1.1108	0.09928
1.111	0.09940
1.1113	0.09957
1.1115	0.09981
1.1117	0.09997
1.112	0.10019
1.1122	0.10038
1.1124	0.10041
1.1127	0.10052
1.1129	0.10080
1.1132	0.10109
1.1134	0.10131
1.1136	0.10150
1.1139	0.10166
1.1141	0.10179
1.1143	0.10203
1.1146	0.10228
1.1148	0.10251
1.1151	0.10269
1.1153	0.10274
1.1156	0.10282
1.1158	0.10299
1.116	0.10323
1.1163	0.10348
1.1165	0.10373
1.1168	0.10391
1.117	0.10406
1.1172	0.10431
1.1175	0.10452
1.1177	0.10462
1.118	0.10482
1.1182	0.10509
1.1184	0.10533
1.1187	0.10546
1.1189	0.10551
1.1192	0.10572
1.1194	0.10600
1.1197	0.10614
1.1199	0.10631
1.1201	0.10648
1.1204	0.10665
1.1206	0.10695
1.1209	0.10718
1.1211	0.10731
1.1213	0.10750
1.1216	0.10766
1.1218	0.10782
1.1221	0.10812
1.1223	0.10834
1.1226	0.10849
1.1228	0.10862
1.123	0.10881
1.1233	0.10905
1.1235	0.10923
1.1238	0.10940
1.124	0.10966
1.1243	0.10983
1.1245	0.10992
1.1248	0.11013
1.125	0.11040
1.1252	0.11049
1.1255	0.11066
1.1257	0.11095
1.126	0.11116
1.1262	0.11136
1.1265	0.11161
1.1267	0.11179
1.1269	0.11198
1.1272	0.11213
1.1274	0.11233
1.1277	0.11259
1.1279	0.11273
1.1282	0.11295
1.1284	0.11316
1.1287	0.11336
1.1289	0.11358
1.1292	0.11370
1.1294	0.11389
1.1297	0.11411
1.1299	0.11429
1.1301	0.11445
1.1304	0.11461
1.1306	0.11471
1.1309	0.11491
1.1311	0.11525
1.1314	0.11552
1.1316	0.11565
1.1319	0.11580
1.1321	0.11604
1.1324	0.11628
1.1326	0.11646
1.1329	0.11667
1.1331	0.11683
1.1333	0.11695
1.1336	0.11714
1.1338	0.11739
1.1341	0.11758
1.1343	0.11774
1.1346	0.11797
1.1348	0.11821
1.1351	0.11842
1.1353	0.11859
1.1356	0.11871
1.1358	0.11882
1.1361	0.11905
1.1363	0.11932
1.1366	0.11947
1.1368	0.11969
1.1371	0.11999
1.1373	0.12016
1.1376	0.12028
1.1378	0.12046
1.1381	0.12066
1.1383	0.12079
1.1386	0.12097
1.1388	0.12120
1.1391	0.12142
1.1393	0.12153
1.1396	0.12170
1.1398	0.12189
1.1401	0.12210
1.1403	0.12234
1.1406	0.12254
1.1408	0.12278
1.1411	0.12298
1.1413	0.12313
1.1416	0.12332
1.1418	0.12351
1.1421	0.12369
1.1423	0.12385
1.1426	0.12403
1.1428	0.12425
1.1431	0.12440
1.1433	0.12458
1.1436	0.12479
1.1438	0.12499
1.1441	0.12524
1.1444	0.12546
1.1446	0.12563
1.1449	0.12581
1.1451	0.12603
1.1454	0.12626
1.1456	0.12640
1.1459	0.12653
1.1461	0.12668
1.1464	0.12690
1.1466	0.12711
1.1469	0.12723
1.1471	0.12745
1.1474	0.12769
1.1477	0.12786
1.1479	0.12806
1.1482	0.12822
1.1484	0.12836
1.1487	0.12851
1.1489	0.12874
1.1492	0.12897
1.1494	0.12918
1.1497	0.12935
1.1499	0.12944
1.1502	0.12961
1.1504	0.12992
1.1507	0.13016
1.151	0.13033
1.1512	0.13047
1.1515	0.13061
1.1517	0.13083
1.152	0.13107
1.1522	0.13125
1.1525	0.13134
1.1528	0.13152
1.153	0.13177
1.1533	0.13194
1.1535	0.13206
1.1538	0.13227
1.154	0.13242
1.1543	0.13253
1.1546	0.13263
1.1548	0.13287
1.1551	0.13314
1.1553	0.13333
1.1556	0.13351
1.1558	0.13370
1.1561	0.13384
1.1564	0.13401
1.1566	0.13421
1.1569	0.13436
1.1571	0.13455
1.1574	0.13476
1.1577	0.13492
1.1579	0.13501
1.1582	0.13518
1.1584	0.13539
1.1587	0.13556
1.1589	0.13572
1.1592	0.13592
1.1595	0.13614
1.1597	0.13633
1.16	0.13645
1.1602	0.13656
1.1605	0.13671
1.1608	0.13688
1.161	0.13706
1.1613	0.13725
1.1615	0.13739
1.1618	0.13754
1.1621	0.13776
1.1623	0.13792
1.1626	0.13803
1.1628	0.13829
1.1631	0.13851
1.1634	0.13862
