Brown University Keck/NASA Relab Spectrum LR-CMP-026/LALR26
Wavelength(micron)	Reflectance
0.3	0.04515
0.305	0.04492
0.31	0.04570
0.315	0.04686
0.32	0.04772
0.325	0.04855
0.33	0.04933
0.335	0.05024
0.34	0.05086
0.345	0.05149
0.35	0.05312
0.355	0.05427
0.36	0.05566
0.365	0.05714
0.37	0.05826
0.375	0.05940
0.38	0.06085
0.385	0.06162
0.39	0.06280
0.395	0.06380
0.4	0.06482
0.405	0.06564
0.41	0.06720
0.415	0.06753
0.42	0.06798
0.425	0.06856
0.43	0.06871
0.435	0.06935
0.44	0.06952
0.445	0.06988
0.45	0.06994
0.455	0.07040
0.46	0.07078
0.465	0.07107
0.47	0.07128
0.475	0.07157
0.48	0.07202
0.485	0.07244
0.49	0.07316
0.495	0.07318
0.5	0.07351
0.505	0.07370
0.51	0.07419
0.515	0.07484
0.52	0.07553
0.525	0.07633
0.53	0.07670
0.535	0.07717
0.54	0.07733
0.545	0.07766
0.55	0.07832
0.555	0.07891
0.56	0.07940
0.565	0.07989
0.57	0.08040
0.575	0.08089
0.58	0.08164
0.585	0.08194
0.59	0.08249
0.595	0.08305
0.6	0.08360
0.605	0.08418
0.61	0.08463
0.615	0.08529
0.62	0.08576
0.625	0.08633
0.63	0.08687
0.635	0.08740
0.64	0.08807
0.645	0.08863
0.65	0.08911
0.655	0.08947
0.66	0.09009
0.665	0.09074
0.67	0.09140
0.675	0.09189
0.68	0.09267
0.685	0.09336
0.69	0.09391
0.695	0.09413
0.7	0.09484
0.705	0.09563
0.71	0.09576
0.715	0.09689
0.72	0.09751
0.725	0.09823
0.73	0.09885
0.735	0.09944
0.74	0.09953
0.745	0.10033
0.75	0.10088
0.755	0.10139
0.76	0.10190
0.765	0.10227
0.77	0.10223
0.775	0.10279
0.78	0.10285
0.785	0.10305
0.79	0.10344
0.795	0.10338
0.8	0.10408
0.805	0.10336
0.81	0.10356
0.815	0.10332
0.82	0.10305
0.825	0.10286
0.83	0.10232
0.835	0.10211
0.84	0.10173
0.845	0.10122
0.85	0.10042
0.855	0.09952
0.86	0.09929
